FPS: 138.95, UPS: 80.97
FPS: 144.05, UPS: 86.43
FPS: 143.99, UPS: 85.99
FPS: 144.00, UPS: 86.00
FPS: 143.98, UPS: 85.99
FPS: 143.94, UPS: 85.97
FPS: 144.10, UPS: 86.46
FPS: 143.99, UPS: 85.99
FPS: 143.98, UPS: 85.99
FPS: 144.00, UPS: 86.40
FPS: 144.03, UPS: 86.42
FPS: 143.94, UPS: 85.96

Interrupt recieved, closing...
FPS: 140.80, UPS: 81.88
FPS: 144.04, UPS: 86.42
FPS: 143.84, UPS: 85.90
FPS: 144.11, UPS: 86.46
FPS: 144.03, UPS: 85.43
FPS: 144.00, UPS: 86.40
FPS: 143.96, UPS: 85.98
FPS: 143.97, UPS: 86.38
FPS: 144.07, UPS: 86.44
FPS: 143.82, UPS: 85.89
FPS: 144.16, UPS: 86.50
FPS: 144.02, UPS: 85.42
FPS: 144.00, UPS: 86.40
FPS: 143.98, UPS: 85.99
FPS: 144.04, UPS: 86.42
FPS: 144.01, UPS: 86.41
FPS: 143.99, UPS: 86.00
FPS: 143.99, UPS: 85.40
FPS: 144.03, UPS: 86.42

Interrupt recieved, closing...
